,GithubID,Year,FullPath,Codesnippet,CWE,isTrueVulnerable,Codesnippet5
61,2021\aws-edukit-example\components\core2forAWS\sk6812\sk6812.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\sk6812\sk6812.c,"memcpy(neopixel_buffer, px->pixels, blen);",120,1,"	}

	memcpy(neopixel_buffer, px->pixels, blen);
	for (uint16_t i = 0; i < blen; i++) {
		float b = px->brightness / 255.0;
"
63,2021\aws-edukit-example\components\core2forAWS\tft\disp_spi.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\disp_spi.c,"memcpy(t.base.tx_data, data, length);",120,1,"    if (length <= 4 && data != NULL) {
        t.base.flags = SPI_TRANS_USE_TXDATA;
        memcpy(t.base.tx_data, data, length);
    } else {
        t.base.tx_buffer = data;
"
64,2021\aws-edukit-example\components\core2forAWS\tft\disp_spi.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\disp_spi.c,"memcpy(&queuedt, &t, sizeof t);",120,1,"    } else {
        static spi_transaction_ext_t queuedt;
        memcpy(&queuedt, &t, sizeof t);
        spi_pending_trans++;
        if (spi_device_queue_trans(spi, (spi_transaction_t *) &queuedt, portMAX_DELAY) != ESP_OK) {
"
65,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_obj.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_obj.c,"_lv_memcpy(&new_obj->user_data, &copy->user_data, sizeof(lv_obj_user_data_t));",120,1,"        /*Set user data*/
#if LV_USE_USER_DATA
        _lv_memcpy(&new_obj->user_data, &copy->user_data, sizeof(lv_obj_user_data_t));
#endif

"
66,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_obj.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_obj.c,"_lv_memcpy(&obj->user_data, &data, sizeof(lv_obj_user_data_t));",120,1,"    LV_ASSERT_OBJ(obj, LV_OBJX_NAME);

    _lv_memcpy(&obj->user_data, &data, sizeof(lv_obj_user_data_t));
}
#endif
"
67,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_refr.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_refr.c,"_lv_memcpy(copy_buf, buf_ina + start_offs, line_length);",120,1,"                            /* The frame buffer is probably in an external RAM where sequential access is much faster.
                             * So first copy a line into a buffer and write it back the ext. RAM */
                            _lv_memcpy(copy_buf, buf_ina + start_offs, line_length);
                            _lv_memcpy(buf_act + start_offs, copy_buf, line_length);
                            start_offs += hres * sizeof(lv_color_t);
"
68,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_refr.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_refr.c,"_lv_memcpy(buf_act + start_offs, copy_buf, line_length);",120,1,"                             * So first copy a line into a buffer and write it back the ext. RAM */
                            _lv_memcpy(copy_buf, buf_ina + start_offs, line_length);
                            _lv_memcpy(buf_act + start_offs, copy_buf, line_length);
                            start_offs += hres * sizeof(lv_color_t);
                        }
"
69,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_style.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_style.c,"_lv_memcpy(style_dest->map, style_src->map, size);",120,1,"    uint16_t size = _lv_style_get_mem_size(style_src);
    style_dest->map = lv_mem_alloc(size);
    _lv_memcpy(style_dest->map, style_src->map, size);
}

"
70,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_style.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_style.c,"_lv_memcpy(list_dest->style_list, list_src->style_list + 1, (list_src->style_cnt - 1) * sizeof(lv_style_t *));",120,1,"        if(list_src->has_trans) {
            list_dest->style_list = lv_mem_alloc((list_src->style_cnt - 1) * sizeof(lv_style_t *));
            _lv_memcpy(list_dest->style_list, list_src->style_list + 1, (list_src->style_cnt - 1) * sizeof(lv_style_t *));
            list_dest->style_cnt = list_src->style_cnt - 1;
        }
"
71,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_style.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_style.c,"_lv_memcpy(list_dest->style_list, list_src->style_list, list_src->style_cnt * sizeof(lv_style_t *));",120,1,"        else {
            list_dest->style_list = lv_mem_alloc(list_src->style_cnt * sizeof(lv_style_t *));
            _lv_memcpy(list_dest->style_list, list_src->style_list, list_src->style_cnt * sizeof(lv_style_t *));
            list_dest->style_cnt = list_src->style_cnt;
        }
"
72,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_style.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_core\lv_style.c,"_lv_memcpy(list_dest->style_list, list_src->style_list + 2, (list_src->style_cnt - 2) * sizeof(lv_style_t *));",120,1,"        if(list_src->has_trans) {
            list_dest->style_list = lv_mem_alloc((list_src->style_cnt - 2) * sizeof(lv_style_t *));
            _lv_memcpy(list_dest->style_list, list_src->style_list + 2, (list_src->style_cnt - 2) * sizeof(lv_style_t *));
            list_dest->style_cnt = list_src->style_cnt - 2;
        }
"
74,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_blend.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_blend.c,"_lv_memcpy(disp_buf_first, map_buf_first, draw_area_w * sizeof(lv_color_t));",120,1,"            /*Software rendering*/
            for(y = 0; y < draw_area_h; y++) {
                _lv_memcpy(disp_buf_first, map_buf_first, draw_area_w * sizeof(lv_color_t));
                disp_buf_first += disp_w;
                map_buf_first += map_w;
"
77,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_rect.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_rect.c,"_lv_memcpy(sh_buf, sh_cache, corner_size * corner_size);",120,1,"        /*Use the cache if available*/
        sh_buf = _lv_mem_buf_get(corner_size * corner_size);
        _lv_memcpy(sh_buf, sh_cache, corner_size * corner_size);
    }
    else {
"
78,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_rect.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_rect.c,"_lv_memcpy(sh_cache, sh_buf, corner_size * corner_size);",120,1,"        /*Cache the corner if it fits into the cache size*/
        if(corner_size * corner_size < sizeof(sh_cache)) {
            _lv_memcpy(sh_cache, sh_buf, corner_size * corner_size);
            sh_cache_size = corner_size;
            sh_cache_r = r_sh;
"
79,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_rect.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_rect.c,"_lv_memcpy(mask_buf, sh_buf_tmp, w);",120,1,"
            for(y = 0; y < h; y++) {
                _lv_memcpy(mask_buf, sh_buf_tmp, w);
                mask_res = lv_draw_mask_apply(mask_buf, fa.x1, fa.y1, w);
                if(mask_res == LV_DRAW_MASK_RES_FULL_COVER) mask_res = LV_DRAW_MASK_RES_CHANGED;
"
88,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_rect.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_draw\lv_draw_rect.c,"_lv_memcpy(sh_ups_tmp_buf, sh_ups_blur_buf, size * sizeof(uint16_t));",120,1,"            v += left_val;
        }
        _lv_memcpy(sh_ups_tmp_buf, sh_ups_blur_buf, size * sizeof(uint16_t));
        sh_ups_tmp_buf += size;
    }
"
97,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_disp.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_disp.c,"_lv_memcpy(&disp->driver, driver, sizeof(lv_disp_drv_t));",120,1,"
    _lv_memset_00(disp, sizeof(lv_disp_t));
    _lv_memcpy(&disp->driver, driver, sizeof(lv_disp_drv_t));

    _lv_ll_init(&disp->scr_ll, sizeof(lv_obj_t));
"
98,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_disp.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_disp.c,"memcpy(&disp->driver, new_drv, sizeof(lv_disp_drv_t));",120,1,"void lv_disp_drv_update(lv_disp_t * disp, lv_disp_drv_t * new_drv)
{
    memcpy(&disp->driver, new_drv, sizeof(lv_disp_drv_t));

    lv_obj_t * scr;
"
99,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_indev.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_indev.c,"_lv_memcpy(&indev->driver, driver, sizeof(lv_indev_drv_t));",120,1,"
    _lv_memset_00(indev, sizeof(lv_indev_t));
    _lv_memcpy(&indev->driver, driver, sizeof(lv_indev_drv_t));

    indev->proc.reset_query = 1;
"
100,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_indev.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_hal\lv_hal_indev.c,"memcpy(&indev->driver, new_drv, sizeof(lv_indev_drv_t));",120,1,"void lv_indev_drv_update(lv_indev_t * indev, lv_indev_drv_t * new_drv)
{
    memcpy(&indev->driver, new_drv, sizeof(lv_indev_drv_t));
}

"
101,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_anim.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_anim.c,"_lv_memcpy(new_anim, a, sizeof(lv_anim_t));",120,1,"    /*Initialize the animation descriptor*/
    a->time_orig = a->time;
    _lv_memcpy(new_anim, a, sizeof(lv_anim_t));

    /*Set the start value*/
"
102,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_anim.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_anim.c,"_lv_memcpy(&a_tmp, a, sizeof(lv_anim_t));",120,1,"         * This way the `ready_cb` will see the animations like it's animation is ready deleted*/
        lv_anim_t a_tmp;
        _lv_memcpy(&a_tmp, a, sizeof(lv_anim_t));
        _lv_ll_remove(&LV_GC_ROOT(_lv_anim_ll), a);
        lv_mem_free(a);
"
103,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_bidi.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_bidi.c,"_lv_memcpy(&str_out[wr], str_in, rd);",120,1,"        if(base_dir == LV_BIDI_DIR_LTR) {
            if(str_out) {
                _lv_memcpy(&str_out[wr], str_in, rd);
                wr += rd;
            }
"
104,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_bidi.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_bidi.c,"if(str_out) _lv_memcpy(&str_out[wr], &str_in[rd], run_len);",120,1,"        if(base_dir == LV_BIDI_DIR_LTR) {
            if(run_dir == LV_BIDI_DIR_LTR) {
                if(str_out) _lv_memcpy(&str_out[wr], &str_in[rd], run_len);
                if(pos_conv_out) fill_pos_conv(&pos_conv_out[pos_conv_wr], pos_conv_run_len, pos_conv_rd);
            }
"
106,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_bidi.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_bidi.c,"if(dest) _lv_memcpy(&dest[wr], &src[first_weak], last_weak - first_weak + 1);",120,1,"            }

            if(dest) _lv_memcpy(&dest[wr], &src[first_weak], last_weak - first_weak + 1);
            if(pos_conv_out) fill_pos_conv(&pos_conv_out[pos_conv_wr], pos_conv_last_weak - pos_conv_first_weak + 1,
                                               pos_conv_rd_base + pos_conv_first_weak);
"
107,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_bidi.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_bidi.c,"if(dest) _lv_memcpy(&dest[wr], &src[i], letter_size);",120,1,"            /*Just store the letter*/
            else {
                if(dest) _lv_memcpy(&dest[wr], &src[i], letter_size);
                if(pos_conv_out) pos_conv_out[pos_conv_wr] = SET_RTL_POS(pos_conv_rd_base + pos_conv_i, true);
                wr += letter_size;
"
108,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_debug.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_debug.c,"_lv_memcpy(bufp, msg, msg_len);",120,1,"
        /*Add the function name*/
        _lv_memcpy(bufp, msg, msg_len);
        bufp += msg_len;

"
109,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_fs.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_fs.c,"_lv_memcpy(new_drv, drv_p, sizeof(lv_fs_drv_t));",120,1,"    if(new_drv == NULL) return;

    _lv_memcpy(new_drv, drv_p, sizeof(lv_fs_drv_t));
}

"
112,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.c,"_lv_memcpy(new_p, data_p, LV_MATH_MIN(new_size, old_size));",120,1,"        /*Copy the old data to the new. Use the smaller size*/
        if(old_size != 0) {
            _lv_memcpy(new_p, data_p, LV_MATH_MIN(new_size, old_size));
            lv_mem_free(data_p);
        }
"
114,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.c,"LV_ATTRIBUTE_FAST_MEM void * _lv_memcpy(void * dst, const void * src, size_t len)",120,1," * @param len number of byte to copy
 */
LV_ATTRIBUTE_FAST_MEM void * _lv_memcpy(void * dst, const void * src, size_t len)
{
    uint8_t * d8 = dst;
"
116,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.h,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.h,"static inline void * _lv_memcpy(void * dst, const void * src, size_t len)",120,1," * @param len number of byte to copy
 */
static inline void * _lv_memcpy(void * dst, const void * src, size_t len)
{
    return memcpy(dst, src, len);
"
117,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.h,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.h,"return memcpy(dst, src, len);",120,1,"static inline void * _lv_memcpy(void * dst, const void * src, size_t len)
{
    return memcpy(dst, src, len);
}

"
123,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.h,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_misc\lv_mem.h,"LV_ATTRIBUTE_FAST_MEM void * _lv_memcpy(void * dst, const void * src, size_t len);",120,1," * @param len number of byte to copy
 */
LV_ATTRIBUTE_FAST_MEM void * _lv_memcpy(void * dst, const void * src, size_t len);

/**
"
125,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_btnmatrix.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_btnmatrix.c,"_lv_memcpy(ext->ctrl_bits, ctrl_map, sizeof(lv_btnmatrix_ctrl_t) * ext->btn_cnt);",120,1,"
    lv_btnmatrix_ext_t * ext = lv_obj_get_ext_attr(btnm);
    _lv_memcpy(ext->ctrl_bits, ctrl_map, sizeof(lv_btnmatrix_ctrl_t) * ext->btn_cnt);

    lv_btnmatrix_set_map(btnm, ext->map_p);
"
127,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_canvas.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_canvas.c,"_lv_memcpy((void *)&ext->dsc.data[px], to_copy8, w * px_size);",120,1,"    lv_coord_t i;
    for(i = 0; i < h; i++) {
        _lv_memcpy((void *)&ext->dsc.data[px], to_copy8, w * px_size);
        px += ext->dsc.header.w * px_size;
        to_copy8 += w * px_size;
"
128,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_canvas.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_canvas.c,"_lv_memcpy(line_buf, &ext->dsc.data[y * line_w], line_w);",120,1,"        lv_color_t c;
        lv_opa_t opa = LV_OPA_TRANSP;
        _lv_memcpy(line_buf, &ext->dsc.data[y * line_w], line_w);


"
131,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,"_lv_memcpy(&ext->x_axis, &ext_copy->x_axis, sizeof(lv_chart_axis_cfg_t));",120,1,"        _lv_memcpy_small(ext->ymin, ext_copy->ymin, sizeof(ext->ymin));
        _lv_memcpy_small(ext->ymax, ext_copy->ymax, sizeof(ext->ymax));
        _lv_memcpy(&ext->x_axis, &ext_copy->x_axis, sizeof(lv_chart_axis_cfg_t));
        _lv_memcpy(&ext->y_axis, &ext_copy->y_axis, sizeof(lv_chart_axis_cfg_t));
        _lv_memcpy(&ext->secondary_y_axis, &ext_copy->secondary_y_axis, sizeof(lv_chart_axis_cfg_t));
"
132,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,"_lv_memcpy(&ext->y_axis, &ext_copy->y_axis, sizeof(lv_chart_axis_cfg_t));",120,1,"        _lv_memcpy_small(ext->ymax, ext_copy->ymax, sizeof(ext->ymax));
        _lv_memcpy(&ext->x_axis, &ext_copy->x_axis, sizeof(lv_chart_axis_cfg_t));
        _lv_memcpy(&ext->y_axis, &ext_copy->y_axis, sizeof(lv_chart_axis_cfg_t));
        _lv_memcpy(&ext->secondary_y_axis, &ext_copy->secondary_y_axis, sizeof(lv_chart_axis_cfg_t));

"
133,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,"_lv_memcpy(&ext->secondary_y_axis, &ext_copy->secondary_y_axis, sizeof(lv_chart_axis_cfg_t));",120,1,"        _lv_memcpy(&ext->x_axis, &ext_copy->x_axis, sizeof(lv_chart_axis_cfg_t));
        _lv_memcpy(&ext->y_axis, &ext_copy->y_axis, sizeof(lv_chart_axis_cfg_t));
        _lv_memcpy(&ext->secondary_y_axis, &ext_copy->secondary_y_axis, sizeof(lv_chart_axis_cfg_t));

        /*Refresh the style with new signal function*/
"
134,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_chart.c,"memcpy(ser->points, y_array, ext->point_cnt * (sizeof(lv_coord_t)));",120,1,"
    lv_chart_ext_t * ext = lv_obj_get_ext_attr(chart);
    memcpy(ser->points, y_array, ext->point_cnt * (sizeof(lv_coord_t)));
    ser->start_point = 0;
    lv_chart_refresh(chart);
"
140,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_imgbtn.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_imgbtn.c,"_lv_memcpy((void *)ext->img_src_mid, copy_ext->img_src_mid, sizeof(ext->img_src_mid));",120,1,"    else {
        lv_imgbtn_ext_t * copy_ext = lv_obj_get_ext_attr(copy);
        _lv_memcpy((void *)ext->img_src_mid, copy_ext->img_src_mid, sizeof(ext->img_src_mid));
#if LV_IMGBTN_TILED
        _lv_memcpy((void *)ext->img_src_left, copy_ext->img_src_left, sizeof(ext->img_src_left));
"
141,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_imgbtn.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_imgbtn.c,"_lv_memcpy((void *)ext->img_src_left, copy_ext->img_src_left, sizeof(ext->img_src_left));",120,1,"        _lv_memcpy((void *)ext->img_src_mid, copy_ext->img_src_mid, sizeof(ext->img_src_mid));
#if LV_IMGBTN_TILED
        _lv_memcpy((void *)ext->img_src_left, copy_ext->img_src_left, sizeof(ext->img_src_left));
        _lv_memcpy((void *)ext->img_src_right, copy_ext->img_src_right, sizeof(ext->img_src_right));
#endif
"
142,2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_imgbtn.c,Dataset Download,../../Dataset Download/2021\aws-edukit-example\components\core2forAWS\tft\lvgl\lvgl\src\lv_widgets\lv_imgbtn.c,"_lv_memcpy((void *)ext->img_src_right, copy_ext->img_src_right, sizeof(ext->img_src_right));",120,1,"#if LV_IMGBTN_TILED
        _lv_memcpy((void *)ext->img_src_left, copy_ext->img_src_left, sizeof(ext->img_src_left));
        _lv_memcpy((void *)ext->img_src_right, copy_ext->img_src_right, sizeof(ext->img_src_right));
#endif
        ext->tiled = copy_ext->tiled;
"
